,f_9,f_14,f_18,f_27,f_69,f_76,f_78,f_94,f_104,f_107,f_110,f_122,f_128,f_129,f_130,f_145,f_156,f_165,f_174,f_175,f_176,f_179,f_196,f_197,f_200,f_206,f_213,f_219,f_222,f_224,f_232,f_235,f_249,f_272,f_279,f_294,f_295,f_296,target
237,-0.8423,0.9165,-1.035,-1.472,-1.041,1.511,-0.08765,1.35,0.93,0.6387,0.4016,0.929,0.12274,-0.715,1.389,0.1248,0.919,-0.1964,1.533,0.0,0.9165,-0.2673,-0.4697,-0.1545,-1.0,-0.845,-0.1044,-1.111,-1.758,-0.1526,-0.5073,1.297,-0.1699,-1.0,1.042,-0.9927,-0.375,1.067,0.671
238,0.1631,-0.5464,0.415,0.582,-0.0437,0.1608,-0.02928,-0.4363,-0.5347,-1.026,1.266,0.794,-0.53,0.5034,0.04007,0.12256,-0.554,-0.1103,0.701,-1.0,0.565,-0.1455,0.75,-0.3684,0.0,0.224,-0.605,-0.517,1.551,0.349,0.02934,-1.799,0.1023,0.0,0.5044,0.584,-0.402,0.1644,0.6636
239,1.166,1.778,-1.859,0.5664,0.706,-0.675,0.10394,-2.438,1.786,-0.4983,-1.73,-0.7573,1.071,0.9795,-0.6704,0.107,1.778,0.2103,-1.591,0.0,-1.364,0.517,-0.838,0.3079,-1.0,1.067,0.9956,1.693,0.4502,-0.2389,0.1318,-0.431,0.03516,-1.0,-1.837,-1.466,-0.4941,-0.05255,-0.6387
240,-1.573,0.608,-0.7964,0.3674,-0.1644,0.593,-0.146,0.2365,0.6157,1.636,0.06854,0.687,-0.02972,0.922,0.01523,0.128,0.6113,-0.1869,2.207,0.0,-1.069,-0.2428,-0.0994,-0.572,0.0,-0.0929,-0.5503,0.613,0.418,0.1841,-0.743,0.8296,-0.109,0.0,-0.787,-0.5894,-0.692,-1.707,0.2554
241,-0.2463,0.6733,-0.9736,-1.105,-0.4868,0.4602,-0.0767,-0.7744,0.677,0.583,0.894,-1.201,0.03952,0.2201,0.378,0.1653,0.6753,-0.2458,-0.4617,-1.0,0.735,-0.2737,0.2096,-0.6895,1.0,-0.01576,-0.5166,0.6953,0.09906,0.0506,-0.4255,-0.606,-0.2703,1.0,-0.7866,0.748,-0.6577,-0.00514,-0.9907
242,-1.016,0.5586,-0.876,-0.532,0.0157,0.6807,-0.304,1.12,0.563,0.8145,-0.4248,0.3726,0.1858,1.058,-0.003008,0.1536,0.562,-0.3374,2.82,-1.0,-1.782,-0.1943,-0.254,-0.7515,1.0,-0.3555,-0.1609,0.512,1.361,-0.3242,0.3438,-0.1071,0.05643,1.0,-0.77,-1.524,-0.5186,1.078,-0.532
243,-0.7373,-0.805,0.8486,-0.85,-0.405,0.7715,-0.08466,-0.01367,-0.7744,0.512,-0.0963,0.2328,0.3813,0.4873,0.2935,0.0914,-0.806,-0.1334,1.144,-1.0,1.279,-0.3818,0.0886,-0.4475,0.0,-0.091,-1.775,-0.883,1.167,0.05933,-1.153,-0.589,-0.10004,0.0,0.922,1.362,-0.4941,-0.7866,0.02585
244,0.8574,-0.812,0.9097,0.845,0.3745,-0.1499,-0.02238,-0.2418,-0.7783,-0.8564,-0.5,0.4014,0.3643,1.208,-0.473,0.1006,-0.8135,-0.0778,0.655,0.0,0.8906,-0.0931,-0.2585,-0.4124,0.0,0.735,-1.275,1.212,0.8857,-0.294,-0.4363,-1.22,0.05185,0.0,-1.438,0.957,-0.45,1.455,1.016
245,1.499,1.741,-1.881,0.4714,-0.489,0.02605,0.1936,-2.248,1.771,1.341,-1.047,-0.003756,0.805,0.784,0.4692,0.0812,1.741,-0.004303,0.3535,-1.0,-1.142,0.0,-0.571,-0.0698,0.0,0.5996,1.666,-0.6514,-0.1671,-0.2227,-1.308,0.2166,-0.00473,0.0,-1.727,-1.425,-0.627,-1.278,0.787
246,1.582,1.692,-1.706,-1.384,0.708,-0.7896,0.206,-1.804,1.7,-0.54,0.6016,-1.347,1.227,1.007,-0.3904,0.08905,1.692,0.1888,-1.316,-1.0,0.43,-0.01665,0.413,0.828,0.0,1.431,2.01,1.573,-0.781,0.1439,-0.825,0.04187,-0.0163,0.0,-1.864,0.4836,-0.6387,-1.568,0.10175
247,0.2057,0.4753,-0.5776,1.504,-0.3635,0.2693,-0.03162,-0.4531,0.4834,1.558,0.473,1.094,-0.013016,0.4395,0.4597,0.12286,0.4778,-0.271,-0.533,-1.0,1.19,0.1836,0.2637,-0.2036,0.0,0.1965,0.1459,0.4583,-0.759,0.1289,-0.2421,0.845,-0.1185,0.0,-0.662,1.169,-0.4932,-0.4255,-0.5483
248,-1.398,-0.707,0.765,-0.641,-0.5137,0.623,-0.05756,0.4219,-0.6836,0.452,1.033,-0.6147,-0.171,0.3826,0.478,0.08923,-0.709,-0.0604,0.824,-1.0,-0.532,-0.3723,0.03613,-0.4172,0.0,-0.12256,-0.3955,-0.683,0.2439,-0.2664,-0.1198,-0.03986,-0.02264,0.0,0.551,-0.8115,-0.547,-1.381,-0.876
249,0.05722,0.6333,-0.8276,1.062,-0.3164,0.4177,-0.0687,-0.03854,0.6426,-0.709,0.0772,-1.079,-0.0472,0.271,0.093,0.09625,0.6367,-0.1768,-0.741,-1.0,-1.192,0.6504,-0.289,-0.7183,1.0,0.1564,-0.303,0.644,2.033,-0.04172,0.9165,-0.8,-0.1788,1.0,-0.741,-1.017,-0.5615,0.1332,0.1416
250,-0.8564,-1.926,1.961,0.8926,-0.8174,0.7363,-0.1077,0.2761,-1.781,0.605,-0.6284,-0.561,-0.12225,0.1875,0.758,0.1401,-1.925,-0.2546,-0.537,-1.0,-0.648,-0.86,0.6704,-0.7744,1.0,-0.2786,-0.978,-1.618,0.905,-0.088,-0.2427,-0.3115,-0.105,1.0,1.379,-1.164,-0.4954,-0.3674,-0.01381
251,-0.2715,-0.4487,0.8755,0.8096,-0.4983,0.04135,0.1753,-1.027,-0.4429,-0.6187,-0.1995,-0.3452,0.8096,0.8564,0.378,0.10077,-0.4512,0.5024,0.4333,-1.0,0.5005,-0.2737,-0.335,-0.2908,0.0,0.3828,-0.4817,-0.7256,1.079,-0.2935,-0.797,-0.3792,0.4084,0.0,0.4854,0.4917,-0.544,-0.7197,0.3892
252,-0.2268,0.1432,-0.517,-2.242,-1.365,0.991,-0.1497,-1.044,0.1451,1.208,0.0421,-0.4106,-0.24,-0.1947,1.492,0.1698,0.1514,-0.4536,-0.2086,-1.0,0.8716,-0.6743,-0.0231,-0.515,0.0,-0.542,1.824,0.1512,0.674,-0.002287,-0.1742,0.3352,-0.2793,0.0,-0.5444,0.8716,-0.641,-0.288,1.147
253,1.3545,0.323,-0.1283,-1.087,0.6006,-0.3792,-0.0178,1.695,0.326,0.11426,0.3777,0.1461,0.772,0.871,-0.3438,0.1368,0.331,-0.03558,-0.4497,-1.0,0.7617,0.2291,0.4507,0.5674,0.0,0.69,0.79,0.3848,-1.464,0.1771,-0.5938,-0.717,-0.4897,0.0,-0.555,0.821,-0.5146,0.96,0.3496
254,1.658,0.4866,-0.3367,-0.853,1.056,-0.6724,-0.0894,0.4722,0.4963,0.3745,-0.7944,0.1332,0.932,0.388,-1.278,0.1434,0.4893,-0.0999,-0.462,-1.0,0.537,0.4841,-0.3638,0.6265,0.0,1.074,0.832,0.5156,-0.387,-0.2338,-0.419,0.03232,-0.2637,0.0,-0.65,0.594,-0.2356,1.29,-0.525
255,0.579,-0.581,0.82,0.964,0.909,-0.599,0.006844,-0.034,-0.5596,0.4883,0.2788,-1.773,0.2673,1.164,-0.9897,0.0987,-0.5845,-0.01807,0.7246,-1.0,-1.089,1.629,-0.848,-0.3467,0.0,0.8325,0.3696,1.896,0.3745,-0.1849,-0.5854,0.1431,-0.06854,0.0,-1.719,-0.9277,-0.3518,-0.882,0.919
256,-1.611,0.3384,-0.7246,1.703,-0.96,1.062,-0.1602,0.3796,0.3425,1.735,0.4526,-0.25,-1.022,0.2229,0.79,0.1317,0.3442,-0.3318,-0.3,-1.0,0.772,0.562,-0.9067,-0.967,1.0,-0.4404,-1.356,0.3418,-0.389,-0.02316,0.1672,0.629,-0.125,1.0,-0.5703,0.7607,-0.4502,-1.025,-1.16
257,-0.2341,0.946,-0.938,1.024,1.093,-0.1523,-0.1156,1.999,0.9536,0.3318,0.694,0.0962,0.925,1.007,-1.077,0.1299,0.949,-0.1467,1.815,-1.0,0.9116,1.07,1.685,0.4675,0.0,0.553,0.552,0.9966,-0.1593,0.1284,1.0205,-0.487,-0.1421,0.0,-1.046,1.019,-0.536,1.108,0.12463
258,-0.09546,-0.7344,0.621,-1.131,-1.015,1.131,-0.1074,1.264,-0.709,1.064,-0.4912,0.6514,-0.672,-0.6885,0.9316,0.0984,-0.7383,-0.2373,0.7563,0.0,1.091,-0.5054,-0.1035,-0.4087,0.0,-0.535,-1.476,-0.8003,-0.728,0.1466,-0.1089,0.1813,0.2493,0.0,0.652,1.258,-0.1897,-1.016,-1.341
259,-0.02122,0.4287,-0.43,-0.2184,0.2585,0.1461,-0.04013,1.6045,-0.647,-0.578,0.3438,-0.4277,0.2319,0.659,-0.2678,0.10913,0.4275,-0.0775,0.8545,0.0,0.703,-0.158,-0.2104,-0.3625,1.0,0.314,0.6367,1.097,1.537,-0.12354,-0.921,-0.7065,-0.0648,1.0,-1.102,0.7754,-0.2717,1.096,3.992
260,1.291,1.23,-0.265,-0.89,4.64,-3.312,1.174,-1.528,1.241,2.393,-1.409,0.495,2.422,1.264,-3.754,-8.41,1.233,7.12,-1.158,-1.0,0.792,2.035,1.405,5.984,1.0,4.438,1.719,0.8306,-1.897,1.482,-0.3083,0.7324,4.68,1.0,-0.9507,0.919,-0.1885,-1.661,0.3865
261,-0.835,-2.787,2.76,1.005,-0.918,1.207,-0.441,2.34,-2.654,0.693,1.104,-4.59,-3.928,-0.979,1.035,0.119,-2.781,-0.2935,2.36,-1.0,-1.155,-1.705,-0.3628,-0.9985,0.0,-0.8447,-1.374,-2.178,-0.806,-0.132,-0.264,3.77,-0.1001,0.0,1.647,-1.006,-0.1759,-0.1754,0.8135
262,0.7593,1.44,-1.492,-0.5938,0.9634,-0.6797,0.1887,1.554,1.456,-2.209,4.223,0.00865,-0.9946,0.312,-1.074,0.09625,1.44,-0.10016,0.7573,-1.0,1.003,2.475,0.1803,0.5015,1.0,0.96,0.7573,1.513,-1.065,-0.07404,2.133,-1.057,-0.0809,1.0,-1.507,-0.9326,-0.06476,-1.298,0.0318
263,0.2983,1.53,-1.701,0.858,1.577,-0.6973,0.0439,1.209,1.543,0.987,-1.142,0.3862,0.757,1.072,-1.383,0.1008,1.53,-0.1257,0.668,-1.0,0.715,2.344,5.12,-0.00347,0.0,1.095,0.4946,1.848,-0.1151,0.2084,4.4,0.1964,-0.06757,0.0,-1.916,-1.35,0.2378,1.228,-1.134
264,-0.4883,-0.4253,0.3035,-1.741,0.2257,0.382,-0.477,1.029,-0.4148,1.93,0.293,0.1666,-0.6475,-0.2223,-0.608,0.084,-0.43,-0.09467,0.656,-1.0,0.4849,-1.646,-0.623,-0.27,1.0,-0.06354,-0.754,-0.4531,-0.955,-0.161,-0.3254,0.4116,0.06094,1.0,0.1526,0.555,0.2236,-1.352,-0.4692
265,-1.329,-0.796,0.831,0.826,-0.6626,0.768,0.045,1.185,-0.756,-0.4307,0.5635,0.01614,-0.2869,-0.3027,0.803,0.0865,-0.798,0.0347,0.834,-1.0,0.905,-0.1259,0.1248,-0.428,0.0,-0.393,-0.8335,-0.871,-0.4778,0.1495,1.049,-0.0821,0.03021,0.0,0.7007,-0.9316,-0.3186,0.605,0.05035
266,-1.291,-2.045,2.05,-1.83,-0.3289,0.828,-0.2285,1.848,-1.935,-0.8647,0.01636,0.5156,-0.3289,-0.10284,0.00845,0.11487,-2.045,-0.2327,2.883,0.0,1.303,-0.2998,-0.3738,-0.85,1.0,-0.4014,-1.637,-1.963,1.744,0.04758,0.5005,-0.7056,-0.133,1.0,1.597,1.111,-0.2384,0.8496,1.024
267,1.084,0.564,-0.1289,-0.653,1.972,-1.491,0.65,2.111,0.577,-2.076,-0.8096,-0.2268,1.474,0.352,-1.239,0.1067,0.5654,0.7983,-0.705,-1.0,0.7373,-0.264,0.9473,1.926,0.0,2.008,2.068,0.658,-2.115,0.4866,0.1053,-0.5923,-0.2347,0.0,-0.712,0.7993,-0.014465,-1.249,-0.42
268,0.7837,0.6367,-0.6763,-0.677,0.812,-0.5977,0.2593,0.319,0.648,0.617,-0.7944,1.426,-0.459,0.1317,-0.643,0.098,0.6387,-0.2026,-0.684,-1.0,0.684,-0.1157,0.5054,0.05154,1.0,0.8403,-0.061,0.6865,-0.683,-0.2096,-0.4014,0.792,-0.1103,1.0,-0.6797,0.762,0.1725,1.03,-0.1896
269,-0.902,-2.771,2.633,-1.108,-1.236,1.379,-0.4617,1.538,-2.6,0.5166,1.261,-1.467,-2.127,-1.035,1.091,0.1255,-2.76,-0.2861,1.151,-1.0,-2.22,-1.003,0.3577,-0.93,0.0,-0.852,-1.402,-1.912,-0.699,0.2019,-0.503,0.7036,-0.0833,0.0,1.542,-1.66,0.05984,0.6074,0.359
270,0.2263,0.3638,-0.3572,0.4395,0.7285,-0.2091,-0.3386,-0.5,0.3699,-1.954,0.7754,-0.2732,0.457,0.6675,-0.8374,0.1523,0.373,-0.255,-0.4749,-1.0,0.3728,0.1741,-2.166,0.08154,-1.0,0.5757,0.6235,0.4282,0.8574,-0.0818,2.115,-1.418,-0.1718,-1.0,-0.5366,0.4011,-0.05853,-1.569,0.02705
271,0.1765,0.906,-0.926,0.506,0.2198,-0.00886,-0.09827,-0.5356,0.9214,0.3313,-1.425,0.7856,0.6895,0.2678,-0.2952,0.0931,0.9067,-0.1945,-0.8364,-1.0,0.9062,1.155,-0.591,0.2732,0.0,0.3047,0.874,1.087,-0.386,-0.1365,1.016,0.437,-0.1242,0.0,-0.9937,0.9604,-0.12396,-0.8516,-0.1177
272,-1.21,1.177,-1.361,0.8906,0.07043,-0.0442,0.251,-1.095,1.192,0.9297,0.6436,0.2815,0.312,0.6313,-0.06033,0.08057,1.177,-0.0578,-1.35,-1.0,0.8413,0.0,0.12103,-0.3162,0.0,0.2712,0.4944,-0.77,-0.3813,-0.2524,-0.3743,-0.10754,-0.0679,0.0,-1.178,0.858,-0.4075,-1.147,-1.661
273,-1.756,-1.633,1.528,-0.4148,-0.568,1.567,-1.172,1.863,-1.585,-0.761,0.1715,0.5234,-1.125,-0.2886,0.4036,0.1084,-1.633,-0.2798,2.37,-1.0,0.8374,-0.541,1.296,-0.755,0.0,-0.8047,-1.637,-1.647,-0.7495,-0.1825,0.0855,0.3462,-0.132,0.0,1.383,0.886,-0.4934,-0.02345,-0.8306
274,-0.1082,-1.488,1.532,-0.6455,-0.614,0.653,-0.3052,-0.0535,-1.406,-1.604,0.1686,0.08545,0.03775,0.02979,0.571,0.1375,-1.488,-0.2532,-0.686,-1.0,-1.395,-0.7847,0.3845,-0.661,-1.0,-0.2502,-0.3052,-1.462,0.608,0.7104,0.0858,-1.241,-0.1414,-1.0,1.061,-1.034,-0.3252,-0.2028,-0.4822
275,1.087,0.3918,-0.6836,2.67,-1.014,0.533,-0.1644,-0.8877,0.3982,-1.975,-1.246,-1.419,-0.0407,-1.113,0.664,0.1501,0.395,-0.3777,-0.413,0.0,-2.576,-0.3843,-0.1372,-0.676,0.0,-0.1436,-0.03583,0.575,1.544,-0.0151,-0.4365,-0.703,-0.0953,0.0,-0.711,-1.915,-0.357,-1.867,0.4272
276,0.2327,-0.7,0.7534,-0.5713,-0.308,0.1398,0.3035,-2.766,-0.6836,-1.476,-0.628,-0.9004,0.1313,0.6567,0.2047,0.1274,-0.7017,-0.1498,0.6772,0.0,0.8496,-0.1462,0.0179,-0.4302,0.0,0.2133,-0.74,-0.738,1.127,0.03403,-1.089,-0.9644,0.006317,0.0,0.504,-1.181,-0.4612,-0.169,-0.995
277,-0.723,0.489,-0.6772,-0.6245,0.5303,0.327,-0.618,-0.1506,0.4941,-0.715,-0.762,-0.03058,0.2395,0.8945,-0.5127,0.1716,0.4902,-0.3289,2.418,-1.0,-1.449,-0.5454,0.3184,-0.4373,0.0,0.0813,0.464,0.4695,0.8403,-0.2078,-0.4238,-0.1466,-0.1054,0.0,-0.633,-1.115,-0.4658,0.1175,0.2905
278,1.284,-1.012,1.064,-0.95,-0.7236,0.7344,-0.1682,-0.695,-0.99,0.4985,-0.1225,0.97,-0.1309,-1.477,0.6465,0.1186,-1.014,-0.244,-0.7485,0.0,0.826,-0.2316,0.3533,-0.5947,0.0,-0.2734,-0.5654,-0.9966,0.307,0.00786,0.5415,-0.2747,-0.06836,0.0,0.718,0.9067,-0.1494,1.298,-1.165
279,-0.5205,1.545,-1.766,-1.098,0.4373,-0.3323,0.2498,-2.11,1.557,-0.989,-0.12164,0.919,0.7,1.027,-0.518,0.1023,1.546,0.03583,0.7495,0.0,-1.514,0.1095,-0.2201,-0.3044,0.0,0.575,1.601,1.614,0.8364,-0.2372,-0.3193,-0.777,-0.005627,0.0,-1.487,-1.115,-0.4946,-1.218,-0.09106
280,-1.455,-1.838,1.614,1.612,-1.954,1.908,-0.423,0.9224,-1.774,-0.565,-0.4712,1.306,-1.004,-1.105,1.863,0.1587,-1.837,-0.3857,-0.3604,-1.0,1.151,-0.3835,0.703,-0.799,0.0,-1.277,-2.244,-2.232,0.5947,-0.1337,-0.6665,0.546,0.03986,0.0,1.652,1.203,-0.6,-1.457,-0.001049
281,-1.297,0.0,0.0,1.103,0.0,0.0,0.007385,-2.55,0.0,0.0,-0.5977,0.0,0.0,0.0,0.0,-7.195,0.2515,-0.1895,0.0,0.0,0.8804,0.0,-0.1298,-0.4834,0.0,0.0,0.0,-0.783,0.4087,-0.3174,-0.4395,0.0,-0.0884,0.0,0.0,0.978,-0.0775,0.1636,4.594
282,1.163,0.495,0.59,1.279,4.15,-2.623,-0.3472,-1.649,0.503,-0.845,0.0,2.064,2.451,0.9556,-4.65,0.1312,0.4998,5.887,-0.4946,-1.0,1.091,1.786,-1.323,3.967,0.0,3.2,0.9326,0.572,-0.624,0.4697,0.79,-1.473,1.829,0.0,-0.6387,1.088,0.0978,-1.137,-0.8604
283,0.302,0.1052,1.432,0.9053,-3.15,2.135,0.1313,1.785,0.109,0.4316,-1.724,4.29,0.6694,-3.35,3.51,0.1458,0.11487,1.395,-0.326,-1.0,0.3267,-4.863,-0.05008,1.825,0.0,-1.788,-1.512,-4.137,-1.139,1.464,0.0,5.816,1.319,0.0,1.92,0.3328,2.576,0.6475,-0.8296
284,-0.925,-1.524,1.376,0.748,-0.1437,0.3616,-0.1465,0.768,-1.468,-4.2,6.37,-0.663,-2.148,0.4756,0.05704,0.1532,-1.524,-0.3542,1.421,-1.0,-1.527,2.648,-0.8027,-0.7305,0.0,-0.0866,-1.002,0.8125,-0.989,0.7173,0.881,-2.053,-0.0626,0.0,-0.75,-1.21,-0.3855,-0.7856,-1.888
285,-0.3213,-2.646,2.588,-0.4968,-0.437,0.6426,-0.2532,0.961,-2.52,-1.235,-2.332,-0.0392,-1.506,-0.1021,0.323,0.1746,-2.64,-0.3672,-0.319,-1.0,-2.129,2.041,-1.506,-0.929,1.0,-0.309,-1.693,0.3901,-0.8716,-0.0661,2.992,-0.4575,-0.0638,1.0,-0.4626,-2.018,-0.3477,-1.203,-0.5234
286,-1.27,-1.1,0.7383,0.0,-1.633,1.733,-0.5054,1.177,-1.076,-2.232,-0.485,0.6304,-0.908,-1.361,1.625,0.1459,-1.103,-0.725,1.495,0.0,0.861,-1.188,2.889,-0.623,1.0,-1.18,-1.0625,-1.089,2.645,0.2812,0.2057,-0.5513,-0.1393,1.0,0.7734,0.9272,-0.2457,-1.039,-0.445
287,0.4172,0.814,-0.9004,0.0,0.03442,-0.0741,0.02318,-0.825,0.8228,-1.074,-0.659,-0.1676,0.5967,0.6763,-0.06287,0.1595,0.8174,-0.2708,-0.7627,0.0,-1.032,-0.1373,-0.1255,0.003359,0.0,0.4207,0.3467,0.8003,1.33,0.007217,-0.624,-1.514,-0.0232,0.0,-0.9053,-1.012,-0.2852,1.456,-0.7334
288,-1.424,-3.393,3.02,-0.996,-0.651,0.99,-0.4768,0.273,-3.203,0.656,-1.359,-1.074,-0.6265,0.2961,0.6064,0.1759,-3.375,-0.4546,2.623,-1.0,-1.555,-0.7637,0.576,-1.005,1.0,-0.648,-0.827,-2.268,0.351,0.00604,-0.403,0.06494,0.00959,1.0,1.459,-1.764,-0.4282,-0.2627,-0.535
289,1.631,1.224,-1.656,-0.3013,-0.2603,-0.04175,0.03516,-2.451,1.226,-2.234,0.04764,-2.295,0.518,-0.2418,0.3523,0.1888,1.225,-0.3499,-0.5786,-1.0,0.7695,-0.1733,1.68,-0.3162,1.0,0.3198,1.141,1.3,0.836,-0.1625,-0.732,-1.09,-0.034,1.0,-1.518,0.7593,-0.569,0.02432,0.03903
290,-0.11334,-1.19,1.106,2.14,-1.265,1.031,-0.0936,-0.0641,-1.168,1.26,-0.8286,-0.8916,-0.4387,-0.779,1.256,0.2196,-1.192,-0.4143,-0.704,-1.0,0.8604,-0.3274,0.7075,-0.716,0.0,-0.753,-0.9033,-1.217,0.5933,-0.3303,-0.02483,-0.04047,0.0918,0.0,0.747,0.9365,-0.535,1.199,0.2383
291,0.586,1.356,-1.565,1.416,0.2666,-0.3936,0.3582,-0.7637,1.365,-1.053,0.10034,-0.285,0.68,0.7393,-0.2715,0.1417,1.358,0.11975,-1.34,0.0,-0.8335,0.1487,-0.4385,-0.2927,1.0,0.5747,1.104,1.221,0.5415,-0.2062,-1.006,-0.9487,-0.0666,1.0,-1.173,-1.139,-0.5034,1.233,0.8057
292,-0.6357,0.678,-0.9067,1.33,-0.1467,0.3926,-0.2139,-0.836,0.687,1.16,-0.8286,0.2196,0.3022,0.5396,0.1401,0.169,0.6816,-0.2693,-0.6626,-1.0,-1.045,-0.3152,-0.281,-0.5522,0.0,0.0007706,0.3418,0.634,0.4136,-0.212,0.5684,0.1858,-0.05225,0.0,-0.7817,-0.832,-0.5254,-0.9575,-0.226
293,1.135,0.7373,-0.5933,1.233,1.506,-1.024,-0.01785,1.155,0.742,0.5723,0.3726,-0.2158,0.8037,0.741,-1.488,0.1248,0.742,0.05084,-0.772,-1.0,0.821,0.193,-0.772,0.8037,0.0,1.052,1.484,0.805,-1.603,0.8613,-0.512,-0.289,-0.2432,0.0,-0.766,0.8926,-0.4675,1.146,2.137
294,1.451,0.2417,1.311,1.105,2.734,-2.291,0.0627,-1.248,0.2466,1.12,0.6924,0.4314,1.71,0.8394,-2.73,-4.87,0.2476,3.717,-0.3298,-1.0,0.712,1.682,0.2153,2.791,1.0,2.86,1.89,0.2455,-1.172,1.165,-0.56,0.0813,0.9614,1.0,-0.391,0.675,-0.3152,1.217,1.403
295,-1.169,0.4963,-0.8906,1.036,-0.53,0.8247,-0.417,1.178,0.5015,0.1785,0.3215,1.862,-2.232,-0.3281,0.61,0.1892,0.5024,-0.432,-0.4492,0.0,-1.753,-2.389,-0.3428,-0.8486,0.0,-0.51,-1.086,-1.673,-0.6577,-0.3276,0.855,1.929,0.00912,0.0,1.051,-1.596,-0.2805,-0.2861,-1.393
296,0.709,0.6055,-0.1642,-1.06,2.053,-1.173,-0.3647,1.031,0.6123,-1.348,2.338,-0.01443,0.576,0.4617,-2.113,0.233,0.6094,0.7334,-0.3896,-1.0,0.6064,1.694,-0.1644,1.396,0.0,1.32,1.235,0.4324,-1.0625,0.0878,0.10315,-0.4753,-0.4333,0.0,-0.4268,0.643,-0.32,-1.323,1.922
297,-0.2439,1.208,-0.5244,-0.6387,2.756,-1.21,0.815,-4.426,0.8965,-2.98,1.534,-0.3896,2.115,-0.05435,-3.332,-5.535,1.244,4.082,-1.102,-1.172,-0.099,3.445,-1.688,3.137,1.585,4.555,1.442,2.406,-1.545,0.805,-0.3206,-1.6045,-0.9443,0.3008,-2.078,0.4028,-0.6377,1.205,-0.924
298,0.05936,0.9893,-0.3074,2.355,5.582,0.5044,-0.3337,-0.7046,1.466,0.512,-0.36,3.398,2.426,2.945,-1.806,0.547,1.323,3.062,-0.478,-1.034,-0.2566,3.658,-3.932,2.162,1.395,3.64,0.7266,1.325,-2.963,1.073,0.76,1.632,1.053,0.98,-2.576,0.2751,2.924,0.3733,1.905
299,0.09607,0.368,0.614,-0.4543,3.404,-0.2861,0.11145,-1.524,-0.1636,-0.712,2.678,0.4797,2.217,0.3137,-1.953,0.02336,0.2161,3.014,-1.311,-1.063,-0.2815,4.03,-5.133,2.238,0.3022,3.553,0.618,1.582,-1.948,0.5703,3.074,-1.61,-1.487,0.2551,-0.05768,0.4182,0.0945,-1.515,-0.4646
300,1.083,2.129,-1.376,3.234,1.916,-3.785,1.198,-3.06,2.326,-1.487,3.975,-3.201,3.309,0.7783,-3.047,-9.25,2.23,2.674,-2.406,-1.149,-0.4683,6.523,-0.527,6.44,0.109,4.9,3.04,3.041,-2.738,-0.0594,-1.141,-2.346,1.289,0.547,-0.9536,0.3591,1.234,-0.1644,-4.22
301,-2.299,-1.044,0.2925,-1.644,-1.737,0.3274,0.3193,0.1559,-0.3887,-0.8022,-4.406,-1.942,-1.016,-0.01507,-0.4587,0.54,-0.604,-4.15,0.4211,-0.0863,-0.361,0.623,2.809,0.04684,0.5176,-0.726,-0.765,-0.3271,0.0777,0.849,9.72,-1.735,-2.049,0.6997,0.2534,1.34,-0.751,-0.1372,-1.198
302,0.0653,-0.2864,-0.5234,0.0519,2.434,-0.658,-0.1625,2.496,-0.374,0.9927,-0.797,-1.413,0.5166,0.2455,-1.611,-0.1676,0.6865,-0.5996,-1.013,-1.272,-0.7173,-0.5737,0.2712,-0.3337,1.007,1.952,-1.594,1.62,2.111,0.05344,1.766,-2.047,0.1428,1.69,0.2576,-0.7676,-0.9863,0.959,-0.4636
303,0.3743,-0.764,-0.1989,-0.0543,-0.9526,0.794,-0.01913,2.162,-0.2012,0.867,0.08795,-1.018,0.2524,-0.9995,-0.4648,-0.455,0.4058,-1.071,-0.9907,-1.303,-1.1875,-0.04562,1.334,-0.9062,-1.138,0.01591,-0.8667,1.503,-0.779,-0.0475,-1.63,-1.105,0.0761,-0.419,0.4412,-2.107,-0.004204,0.5884,-0.4565
304,0.3062,0.3474,-1.241,-1.257,-1.37,1.042,0.0938,1.468,-0.0675,1.587,2.223,-0.684,0.457,-1.752,0.3162,-0.815,1.317,-0.666,-1.659,-0.9653,1.588,-0.6694,-2.438,-0.4995,0.889,0.4153,0.2825,0.4797,-0.892,-0.3513,-0.4636,-0.934,-0.2742,1.302,1.192,-0.7383,-1.203,0.812,-0.11633
305,0.2803,-0.865,1.022,-2.191,-0.6743,1.237,-0.2734,0.1571,-0.843,-0.02171,0.313,-0.2654,0.9365,-0.469,0.405,-2.02,-1.2705,-0.6914,-0.009186,-1.229,1.296,-1.074,0.02505,-1.435,-0.1284,0.419,0.2137,0.8203,2.89,-0.07117,2.057,-1.509,-0.2228,0.1415,0.9844,1.318,-0.5996,-1.853,-0.00811
306,-1.557,-0.5894,0.4082,1.592,-0.3975,0.9688,-0.2067,-0.01027,-2.14,-1.41,-0.1134,-0.617,0.783,-0.03766,-1.725,-0.66,0.006107,-1.887,2.342,-0.6426,1.287,-1.214,-0.719,0.04922,-0.00799,0.01226,0.2773,-0.3193,-0.5005,-0.1576,1.332,-0.2903,0.3608,0.2451,-0.1217,1.634,-1.001,-1.709,-1.147
